category,average_discount,payment_method,year
mobiles & tablets,16.0,Easypay,2017
kids & baby,20.0,Easypay,2017
beauty & grooming,20.0,Easypay,2017
mens fashion,18.0,Easypay,2017
women's fashion,24.0,cod,2017
home & living,29.0,cod,2017
mens fashion,30.0,cod,2017
mobiles & tablets,22.0,Payaxis,2017
women's fashion,24.0,Payaxis,2017
women's fashion,19.0,jazzvoucher,2017
entertainment,20.0,Payaxis,2017
mobiles & tablets,15.0,jazzwallet,2017
appliances,24.0,Payaxis,2017
soghaat,27.0,Payaxis,2017
entertainment,16.0,cod,2017
mobiles & tablets,21.0,cod,2017
entertainment,13.0,jazzvoucher,2017
superstore,35.0,cod,2017
others,25.0,cod,2017
computing,28.0,Payaxis,2017
appliances,17.0,Easypay,2017
entertainment,14.0,Easypay,2017
appliances,29.0,cod,2017
superstore,6.0,jazzvoucher,2017
superstore,25.0,Payaxis,2017
others,13.0,easypay_voucher,2017
mens fashion,25.0,Payaxis,2017
computing,18.0,Easypay,2017
home & living,19.0,Easypay,2017
home & living,24.0,Payaxis,2017
mobiles & tablets,14.0,jazzvoucher,2017
beauty & grooming,23.0,Payaxis,2017
computing,21.0,cod,2017
kids & baby,34.0,cod,2017
entertainment,13.0,easypay_voucher,2017
computing,16.0,Easypay_MA,2017
appliances,14.0,easypay_voucher,2017
appliances,15.0,Easypay_MA,2017
computing,16.0,easypay_voucher,2017
mobiles & tablets,14.0,easypay_voucher,2017
home & living,11.0,easypay_voucher,2017
soghaat,23.0,Easypay,2017
superstore,14.0,jazzwallet,2017
superstore,15.0,Easypay_MA,2017
appliances,13.0,jazzwallet,2017
entertainment,15.0,jazzwallet,2017
health & sports,19.0,Easypay,2017
health & sports,25.0,cod,2017
beauty & grooming,34.0,cod,2017
mens fashion,12.0,Easypay_MA,2017
mens fashion,10.0,easypay_voucher,2017
beauty & grooming,12.0,easypay_voucher,2017
entertainment,13.0,Easypay_MA,2017
women's fashion,11.0,easypay_voucher,2017
superstore,21.0,Easypay,2017
mobiles & tablets,15.0,Easypay_MA,2017
health & sports,14.0,jazzvoucher,2017
health & sports,12.0,easypay_voucher,2017
appliances,14.0,jazzvoucher,2017
others,21.0,Easypay,2017
health & sports,25.0,Payaxis,2017
kids & baby,13.0,jazzwallet,2017
women's fashion,18.0,Easypay,2017
beauty & grooming,13.0,Easypay_MA,2017
superstore,14.0,easypay_voucher,2017
beauty & grooming,13.0,jazzwallet,2017
books,29.0,cod,2017
soghaat,32.0,cod,2017
school & education,19.0,Easypay,2017
beauty & grooming,9.0,jazzvoucher,2017
kids & baby,25.0,Payaxis,2017
mens fashion,12.0,jazzvoucher,2017
others,23.0,Payaxis,2017
home & living,32.0,jazzvoucher,2017
kids & baby,9.0,easypay_voucher,2017
computing,17.0,jazzwallet,2017
computing,28.0,jazzvoucher,2017
others,12.0,jazzvoucher,2017
soghaat,10.0,easypay_voucher,2017
books,29.0,Payaxis,2017
kids & baby,12.0,jazzvoucher,2017
soghaat,18.0,jazzvoucher,2017
school & education,27.0,Payaxis,2017
women's fashion,13.0,Easypay_MA,2017
women's fashion,13.0,jazzwallet,2017
home & living,11.0,Easypay_MA,2017
mens fashion,11.0,jazzwallet,2017
kids & baby,12.0,Easypay_MA,2017
others,16.0,jazzwallet,2017
health & sports,14.0,jazzwallet,2017
soghaat,16.0,jazzwallet,2017
home & living,19.0,jazzwallet,2017
school & education,22.0,jazzwallet,2017
soghaat,14.0,Easypay_MA,2017
health & sports,15.0,Easypay_MA,2017
others,18.0,Easypay_MA,2017
school & education,12.0,easypay_voucher,2017
books,16.0,Easypay_MA,2017
books,10.0,easypay_voucher,2017
school & education,19.0,Easypay_MA,2017
school & education,31.0,cod,2017
books,19.0,Easypay,2017
